timestamp,open,high,low,close,volume_base,volume_quote
2025-11-22 03:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 04:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 05:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 06:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 07:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 08:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 09:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 10:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 11:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 12:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 13:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 14:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 15:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 16:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 17:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 18:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 19:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 20:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 21:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 22:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-22 23:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-23 00:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-23 01:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-23 02:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-23 03:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-23 04:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-23 05:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-23 06:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-23 07:00:00,170.3,170.3,170.3,170.3,0.0,0.0
2025-11-23 08:00:00,170.3,170.3,170.3,170.3,0.0,0.0
